Date,Open,High,Low,Close,Volume,openinterest,Date,SPX Close,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Net,Noncommercial Spreads,Commercial Long,Commercial Short,Commercial Net,Total Long,Total Short,Total Net,Nonreportable Positions Long,Nonreportable Positions Short,Nonreportable Net,Noncommercial Long % of OI,Noncommercial Short % of OI,Noncommerical Net % of OI,Noncommercial Net % of OI 1 year percentile,Noncommercial Net % of OI 2 year percentile,Noncommercial Net % of OI 5 year percentile,Noncommercial Spreads % of OI,Commercial Long % of OI,Commercial Short % of OI,Commerical Net % of OI,Commercial Net % of OI 1 year percentile,Commercial Net % of OI 2 year percentile,Commercial Net % of OI 5 year percentile,Total Long % of OI,Total Short % of OI,Total Net % of OI,Total Net % of OI 1 year percentile,Total Net % of OI 2 year percentile,Total Net % of OI 5 year percentile,Nonreportable Positions Long % of OI,Nonreportable Positions Short % of OI,NonReportable Net % of OI,Nonreportable Net % of OI 1 year percentile,Nonreportable Net % of OI 2 year percentile,Nonreportable Net % of OI 5 year percentile
10/2/2012,1444.49,1451.52,1439.01,1445.75,0,0,10/2/2012,1445.75,3.7411E+11,53464639507,32991941556,20472697951,19879442404,2.51438E+11,2.86421E+11,-34983182154,3.24782E+11,3.39292E+11,-14510204274,49328305752,34817821549,14510484203,14.29%,8.82%,5.47%,98.00%,99.00%,98.50%,5.31%,67.21%,76.56%,-9.35%,2.00%,1.00%,1.90%,86.81%,90.69%,-3.88%,2.00%,13.60%,10.80%,13.19%,9.31%,3.88%,98.00%,86.40%,89.20%
9/25/2012,1456.94,1463.24,1441.59,1441.59,0,0,9/25/2012,1441.59,3.63576E+11,52759145517,30308981800,22450163718,18415267010,2.41062E+11,2.79914E+11,-38852059456,3.12236E+11,3.28638E+11,-16402176192,51339797091,34937620900,16402176192,14.51%,8.34%,6.17%,100.00%,100.00%,100.00%,5.07%,66.30%,76.99%,-10.69%,0.00%,0.00%,1.20%,85.88%,90.39%,-4.51%,0.00%,1.00%,2.30%,14.12%,9.61%,4.51%,100.00%,99.00%,97.70%
9/18/2012,1461.19,1461.47,1456.13,1459.32,337739008,0,9/18/2012,1459.32,4.95102E+11,52945758351,33819055753,19126702599,31293015492,3.45887E+11,3.79974E+11,-34086749616,4.30126E+11,4.45086E+11,-14960047018,64976427239,50016380221,14960047018,10.69%,6.83%,3.86%,100.00%,100.00%,96.90%,6.32%,69.86%,76.75%,-6.88%,2.00%,3.90%,8.10%,86.88%,89.90%,-3.02%,27.50%,45.60%,40.80%,13.12%,10.10%,3.02%,72.50%,54.40%,59.20%
9/11/2012,1429.13,1437.76,1429.08,1433.56,350963008,0,9/11/2012,1433.56,4.24518E+11,49620010770,34132301046,15487709724,24368548641,2.85418E+11,3.15428E+11,-30009881510,3.59407E+11,3.7393E+11,-14522863260,65111156502,50588626326,14522530176,11.69%,8.04%,3.65%,100.00%,100.00%,95.80%,5.74%,67.23%,74.30%,-7.07%,0.00%,1.00%,5.80%,84.66%,88.08%,-3.42%,7.80%,28.20%,20.80%,15.34%,11.92%,3.42%,92.20%,71.80%,79.20%
9/4/2012,1406.54,1409.31,1396.56,1404.94,0,0,9/4/2012,1404.94,4.03139E+11,44645030035,36056289302,8588740733,23162863981,2.73184E+11,2.94838E+11,-21653771106,3.40992E+11,3.54057E+11,-13064981678,62146822268,49082117794,13064704475,11.07%,8.94%,2.13%,92.20%,85.40%,77.70%,5.75%,67.76%,73.14%,-5.37%,3.90%,17.50%,23.10%,84.58%,87.83%,-3.24%,13.70%,33.00%,26.20%,15.42%,12.17%,3.24%,86.30%,67.00%,73.80%
8/28/2012,1410.44,1413.63,1405.59,1409.3,0,0,8/28/2012,1409.3,3.99839E+11,45404511420,33672211773,11732299647,21967806143,2.69483E+11,2.94618E+11,-25135777018,3.36855E+11,3.50259E+11,-13403477372,62983501228,49580302125,13403199103,11.36%,8.42%,2.93%,100.00%,96.10%,86.90%,5.49%,67.40%,73.68%,-6.29%,2.00%,4.90%,12.30%,84.25%,87.60%,-3.35%,9.80%,30.10%,23.50%,15.75%,12.40%,3.35%,90.20%,69.90%,76.50%
8/21/2012,1418.13,1426.68,1410.86,1413.17,0,0,8/21/2012,1413.17,3.89841E+11,42244601827,34296446481,7948155347,22007394869,2.62737E+11,2.82824E+11,-20087357221,3.26988E+11,3.39127E+11,-12139531964,62852660286,50713405542,12139254744,10.84%,8.80%,2.04%,94.10%,86.40%,77.70%,5.65%,67.40%,72.55%,-5.15%,3.90%,17.50%,25.00%,83.88%,86.99%,-3.11%,15.70%,35.00%,32.30%,16.12%,13.01%,3.11%,86.30%,66.00%,68.10%
8/14/2012,1404.11,1410.03,1400.6,1403.93,0,0,8/14/2012,1403.93,3.83355E+11,40934806248,32692245711,8242560538,24669054412,2.587E+11,2.77724E+11,-19024429138,3.24304E+11,3.35085E+11,-10781539297,59050636016,48269447701,10781188315,10.68%,8.53%,2.15%,96.10%,88.30%,78.80%,6.44%,67.48%,72.45%,-4.96%,3.90%,22.30%,27.70%,84.60%,87.41%,-2.81%,25.50%,46.60%,46.50%,15.40%,12.59%,2.81%,74.50%,53.40%,53.50%
8/7/2012,1394.23,1407.14,1394.46,1401.35,0,0,8/7/2012,1401.35,3.75843E+11,41641806895,31138846871,10502960024,23936096135,2.51029E+11,2.71183E+11,-20154182975,3.16607E+11,3.26258E+11,-9651280450,59236894854,49585342688,9651552166,11.08%,8.29%,2.79%,100.00%,95.10%,85.80%,6.37%,66.79%,72.15%,-5.36%,2.00%,16.50%,22.70%,84.24%,86.81%,-2.57%,37.30%,56.30%,56.50%,15.76%,13.19%,2.57%,62.70%,43.70%,43.50%
7/31/2012,1385.3,1387.16,1379.17,1379.32,0,0,7/31/2012,1379.32,3.54195E+11,36185422513,30699203730,5486218783,20806298020,2.38319E+11,2.542E+11,-15880985175,2.95311E+11,3.05706E+11,-10394827356,58883670321,48488842965,10394827356,10.22%,8.67%,1.55%,96.10%,79.60%,72.30%,5.87%,67.28%,71.77%,-4.48%,3.90%,27.20%,31.20%,83.38%,86.31%,-2.93%,19.60%,42.70%,42.30%,16.62%,13.69%,2.93%,80.40%,57.30%,57.70%
7/24/2012,1350.52,1351.53,1329.24,1338.31,0,0,7/24/2012,1338.31,3.52646E+11,28142289002,32647771913,-4505482911,24120125938,2.4097E+11,2.47226E+11,-6256639765,2.93232E+11,3.03995E+11,-10762438109,59414395345,48652194837,10762200508,7.98%,9.26%,-1.28%,58.80%,37.90%,41.50%,6.84%,68.33%,70.11%,-1.77%,37.30%,59.20%,53.50%,83.15%,86.20%,-3.05%,17.60%,37.90%,36.50%,16.85%,13.80%,3.05%,82.40%,62.10%,63.50%
7/17/2012,1353.64,1365.36,1345.07,1363.67,356668000,0,7/17/2012,1363.67,3.562E+11,29671462614,32811871756,-3140409143,23163677965,2.43391E+11,2.51342E+11,-7951493856,2.96226E+11,3.07318E+11,-11091984751,59973950196,48882306362,11091643834,8.33%,9.21%,-0.88%,60.80%,44.70%,45.40%,6.50%,68.33%,70.56%,-2.23%,33.30%,52.40%,49.20%,83.16%,86.28%,-3.11%,15.70%,34.00%,31.90%,16.84%,13.72%,3.11%,84.30%,66.00%,68.10%
7/10/2012,1352.96,1361.54,1336.27,1341.47,0,0,7/10/2012,1341.47,3.49861E+11,31035281596,36148396600,-5113115004,23495198686,2.37505E+11,2.43338E+11,-5832995967,2.92036E+11,3.02982E+11,-10946704890,57825184783,46878738445,10946446338,8.87%,10.33%,-1.46%,52.90%,35.90%,40.40%,6.72%,67.89%,69.55%,-1.67%,41.20%,59.20%,54.20%,83.47%,86.60%,-3.13%,15.70%,33.00%,30.40%,16.53%,13.40%,3.13%,84.30%,67.00%,69.60%
7/3/2012,1365.51,1374.81,1363.53,1374.02,0,0,7/3/2012,1374.02,3.51703E+11,34159653997,33908415767,251238230,22721761193,2.36625E+11,2.46444E+11,-9819287849,2.93506E+11,3.03074E+11,-9568049619,58196128962,48628343927,9567785035,9.71%,9.64%,0.07%,72.50%,61.20%,58.10%,6.46%,67.28%,70.07%,-2.79%,27.50%,43.70%,42.70%,83.45%,86.17%,-2.72%,25.50%,42.70%,49.20%,16.55%,13.83%,2.72%,74.50%,57.30%,50.80%
6/26/2012,1314.09,1324.24,1310.3,1319.99,0,0,6/26/2012,1319.99,3.36147E+11,34605553586,33449097344,1156456242,21071648999,2.26482E+11,2.36781E+11,-10298924910,2.82159E+11,2.91302E+11,-9142213685,53987947206,44845733521,9142213685,10.29%,9.95%,0.34%,80.40%,66.00%,61.50%,6.27%,67.38%,70.44%,-3.06%,21.60%,39.80%,40.40%,83.94%,86.66%,-2.72%,25.50%,42.70%,49.20%,16.06%,13.34%,2.72%,74.50%,57.30%,50.80%
6/19/2012,1344.78,1363.46,1344.78,1357.98,0,0,6/19/2012,1357.98,3.29297E+11,28770502324,33587294826,-4816792502,20057629014,2.25735E+11,2.29366E+11,-3630721877,2.74563E+11,2.83011E+11,-8447495817,54733594729,46286098913,8447495817,8.74%,10.20%,-1.46%,51.00%,36.90%,41.20%,6.09%,68.55%,69.65%,-1.10%,47.10%,60.20%,57.30%,83.38%,85.94%,-2.57%,37.30%,50.50%,55.40%,16.62%,14.06%,2.57%,62.70%,49.50%,44.60%
6/12/2012,1308.93,1324.31,1306.62,1324.18,344292000,0,6/12/2012,1324.18,4.58318E+11,29006349452,37730519379,-8724169927,34889916891,3.22989E+11,3.24017E+11,-1027810429,3.86886E+11,3.96638E+11,-9752218276,71432787087,61680823431,9751963656,6.33%,8.23%,-1.90%,47.10%,31.10%,36.50%,7.61%,70.47%,70.70%,-0.22%,52.90%,66.00%,65.00%,84.41%,86.54%,-2.13%,52.90%,66.00%,72.70%,15.59%,13.46%,2.13%,47.10%,34.00%,27.30%
6/5/2012,1278.18,1287.62,1274.16,1285.5,340323008,0,6/5/2012,1285.5,4.10864E+11,28641459412,36941915620,-8300456208,32372817313,2.82209E+11,2.83604E+11,-1395718002,3.43223E+11,3.52919E+11,-9696174210,67641398487,57945242453,9696156033,6.97%,8.99%,-2.02%,45.10%,30.10%,36.20%,7.88%,68.69%,69.03%,-0.34%,52.90%,65.00%,63.50%,83.54%,85.90%,-2.36%,51.00%,61.20%,66.50%,16.46%,14.10%,2.36%,49.00%,38.80%,33.50%
5/29/2012,1318.9,1334.93,1318.9,1332.42,344164000,0,5/29/2012,1332.42,3.95319E+11,31338350632,41220115557,-9881764925,26426003986,2.72055E+11,2.71587E+11,467351583,3.29819E+11,3.39234E+11,-9415002344,65500346335,56085677097,9414669239,7.93%,10.43%,-2.50%,35.30%,25.20%,31.50%,6.68%,68.82%,68.70%,0.12%,64.70%,72.80%,67.70%,83.43%,85.81%,-2.38%,49.00%,59.20%,65.40%,16.57%,14.19%,2.38%,51.00%,40.80%,34.60%
5/22/2012,1316.09,1328.49,1310.04,1316.63,412368000,0,5/22/2012,1316.63,3.89563E+11,33465590809,38839241487,-5373650678,27293647028,2.64494E+11,2.69001E+11,-4507149820,3.25253E+11,3.35134E+11,-9880800498,64309007718,54428207221,9880800498,8.59%,9.97%,-1.38%,45.10%,34.00%,41.50%,7.01%,67.90%,69.05%,-1.16%,51.00%,59.20%,56.20%,83.49%,86.03%,-2.54%,47.10%,52.40%,58.10%,16.51%,13.97%,2.54%,52.90%,47.60%,41.90%
5/15/2012,1338.36,1344.94,1328.41,1330.66,411404000,0,5/15/2012,1330.66,3.88269E+11,40387228701,37148701790,3238526911,29250542301,2.5572E+11,2.71844E+11,-16123730327,3.25358E+11,3.38243E+11,-12884870751,62910545448,50025674697,12884870751,10.40%,9.57%,0.83%,84.30%,69.90%,65.00%,7.53%,65.86%,70.01%,-4.15%,13.70%,28.20%,32.30%,83.80%,87.12%,-3.32%,23.50%,30.10%,23.80%,16.20%,12.88%,3.32%,76.50%,69.90%,76.20%
